Entity,Year,Liver cancer,Kidney cancer,Lip and oral cavity cancer,"Tracheal, bronchus, and lung cancer",Larynx cancer,Gallbladder and biliary tract cancer,Malignant skin melanoma,Leukemia,Hodgkin lymphoma,Multiple myeloma,Other neoplasms,Breast cancer,Prostate cancer,Thyroid cancer,Stomach cancer,Bladder cancer,Uterine cancer,Ovarian cancer,Cervical cancer,Brain and central nervous system cancer,Deaths - Non-Hodgkin lymphoma - Sex: Both - Age: All Ages (Number),Deaths - Pancreatic cancer - Sex: Both - Age: All Ages (Number),Deaths - Esophageal cancer - Sex: Both - Age: All Ages (Number),Deaths - Testicular cancer - Sex: Both - Age: All Ages (Number),Deaths - Nasopharynx cancer - Sex: Both - Age: All Ages (Number),Deaths - Other pharynx cancer - Sex: Both - Age: All Ages (Number),Deaths - Colon and rectum cancer - Sex: Both - Age: All Ages (Number),Deaths - Non-melanoma skin cancer - Sex: Both - Age: All Ages (Number),Deaths - Mesothelioma - Sex: Both - Age: All Ages (Number)
Congo,60135,1803,679,1202,8113,861,586,354,2613,289,635,159,8031,4425,282,5176,1563,755,909,8939,1081,2004,2095,5808,124,365,339,4958,220,155
Cook Islands,60135,64,0,0,173,0,0,0,3,0,0,0,102,141,0,35,15,0,0,0,0,0,28,19,0,0,0,37,0,0
Costa Rica,60135,4680,1743,1200,9455,1173,2288,1059,5623,825,1903,748,8232,10412,651,22689,1982,1162,1993,4976,2609,4107,5693,1884,305,410,524,12351,1144,103
Cote d'Ivoire,60135,14091,2788,3625,25600,3272,2324,752,12722,1067,1642,647,16368,19069,631,30451,5940,2007,3023,25019,4904,9600,8497,9984,343,900,838,16749,666,318
Croatia,60135,8114,8253,6150,85192,7145,7356,5001,11047,736,4543,2642,28284,19859,1206,31158,11112,4507,9463,5748,13520,8301,19908,6857,438,672,4781,55476,2135,1431
Cuba,60135,12619,7966,11984,142325,20634,7320,2225,17350,2569,8518,1140,41099,71567,2165,27157,16631,14091,7120,19680,11000,15002,21371,18517,432,2008,4735,70500,8544,575
Cyprus,60135,1222,632,408,8587,381,708,476,2038,135,918,440,4711,3674,229,2672,1775,636,1298,638,1318,1980,2555,490,31,66,89,5070,332,317
Czechia,60135,18292,33899,11553,180674,8898,27097,10703,27680,2530,11800,4512,58798,44197,2840,49249,23887,13177,23865,15496,21631,17836,60244,15110,1274,1392,7057,137130,4175,1299
Democratic Republic of Congo,60135,19940,5387,12724,87195,9133,6630,4415,38494,4492,7128,1409,81105,51711,3235,65778,19623,7264,8160,109252,15324,18302,13551,64647,1401,4194,2995,37106,2576,1569
Denmark,60135,7817,11685,5360,121640,3661,4306,7587,16101,888,7801,4207,46120,41867,1251,16619,19657,5453,14714,6771,13311,11806,28910,13747,469,413,3683,71975,1798,2924
Djibouti,60135,340,136,251,937,150,93,91,635,111,105,25,923,957,69,818,208,116,226,1329,233,357,313,1215,25,171,105,850,47,21
Dominica,60135,110,60,70,402,60,72,0,150,0,131,27,371,1227,12,568,95,60,27,229,25,160,151,123,0,5,46,340,18,0
Dominican Republic,60135,7304,3315,4641,25997,3335,3836,440,8776,318,2410,693,15397,36543,1093,16043,2292,4445,1610,13861,2227,4364,5793,4043,122,918,2609,18736,2650,197
East Asia & Pacific (WB),60135,8517548,782829,902883,20031893,667532,1548398,217277,3008124,155374,514667,235623,4025456,2069703,339730,14988167,1298289,650589,1009478,2015418,1958256,1666613,3328303,7922555,51106,1129426,308990,8200725,433510,134539
Eastern Mediterranean Region (WHO),60135,542656,87283,412993,1103386,272486,157061,32968,617218,95132,94428,17300,1091017,341211,58257,800036,350631,87199,189685,205031,347645,253268,244564,375952,20872,85010,113914,599663,26554,9069
Ecuador,60135,9259,5184,2717,29288,2221,11236,2847,20073,1751,3498,1196,18552,32912,3758,73877,4173,6424,6045,23264,8348,12676,13607,4919,1213,518,767,26818,3109,474
Egypt,60135,270270,11900,8549,112712,14138,15603,1950,65933,4864,13044,2446,101961,34041,5613,63072,97005,8936,13230,11596,45511,26432,42590,18798,990,2001,3220,81781,2239,809
